,bhk,sqft_living,price,zipcode
0,3,1180,221900.0,98178
1,3,2570,538000.0,98125
2,2,770,180000.0,98028
3,4,1960,604000.0,98136
4,3,1680,510000.0,98074
5,4,5420,1225000.0,98053
6,3,1715,257500.0,98003
7,3,1060,291850.0,98198
8,3,1780,229500.0,98146
9,3,1890,323000.0,98038
10,3,3560,662500.0,98007
11,2,1160,468000.0,98115
12,3,1430,310000.0,98028
13,3,1370,400000.0,98074
14,5,1810,530000.0,98107
15,4,2950,650000.0,98126
16,3,1890,395000.0,98019
17,4,1600,485000.0,98103
18,2,1200,189000.0,98002
19,3,1250,230000.0,98003
20,4,1620,385000.0,98133
21,3,3050,2000000.0,98040
22,5,2270,285000.0,98092
23,2,1070,252700.0,98030
24,3,2450,329000.0,98030
25,3,1710,233000.0,98002
26,3,2450,937000.0,98119
27,3,1400,667000.0,98112
28,3,1520,438000.0,98115
29,4,2570,719000.0,98052
30,3,2320,580500.0,98027
31,2,1190,280000.0,98133
32,4,2330,687500.0,98117
33,3,1090,535000.0,98117
34,4,2060,322500.0,98058
35,3,2300,696000.0,98115
36,4,1660,550000.0,98052
37,4,2360,640000.0,98107
38,4,1220,240000.0,98001
39,4,2620,605000.0,98056
40,4,2570,625000.0,98074
41,4,4220,775000.0,98166
42,5,3595,861990.0,98053
43,3,1570,685000.0,98119
44,3,1280,309000.0,98058
45,3,3160,488000.0,98019
46,3,990,210490.0,98023
47,4,2290,785000.0,98007
48,3,1250,450000.0,98115
49,3,2753,1350000.0,98070
50,3,1190,228000.0,98148
51,5,3150,345000.0,98056
52,3,1410,600000.0,98117
53,2,1980,585000.0,98117
54,5,2730,920000.0,98105
55,4,2830,885000.0,98105
56,4,2250,292500.0,98042
57,3,2420,301000.0,98042
58,5,3250,951000.0,98008
59,4,1850,430000.0,98059
60,3,2150,650000.0,98166
61,3,1260,289000.0,98148
62,3,2519,505000.0,98166
63,3,1540,549000.0,98115
64,3,1660,425000.0,98122
65,3,2770,317625.0,98144
66,4,2720,975000.0,98004
67,4,2240,287000.0,98001
68,3,1000,204000.0,98042
69,5,3200,1325000.0,98004
70,5,4770,1040000.0,98005
71,3,1260,325000.0,98034
72,4,2750,571000.0,98125
73,4,2380,360000.0,98038
74,3,1790,349000.0,98042
75,4,3430,832500.0,98075
76,4,1760,380000.0,98008
77,3,1040,480000.0,98116
78,3,1410,410000.0,98133
79,4,3450,720000.0,98010
80,3,2350,390000.0,98038
81,4,1900,360000.0,98038
82,2,2020,355000.0,98118
83,3,1680,356000.0,98059
84,3,960,315000.0,98125
85,3,2140,940000.0,98119
86,5,2660,305000.0,98092
87,3,2770,461000.0,98056
88,2,1610,215000.0,98056
89,2,1030,335000.0,98136
90,4,1980,243500.0,98023
91,5,3520,1099880.0,98199
92,3,1200,153000.0,98023
93,3,1580,430000.0,98117
94,3,1580,700000.0,98117
95,4,3300,905000.0,98040
96,3,1960,247500.0,98032
97,4,1160,199000.0,98023
98,3,1810,314000.0,98038
99,3,2320,437500.0,98045
100,3,2070,850830.0,98102
101,3,1980,555000.0,98117
102,3,2190,699950.0,98077
103,3,2920,1088000.0,98004
104,3,1210,290000.0,98058
105,3,2340,375000.0,98058
106,3,1670,460000.0,98117
107,2,1240,188500.0,98198
108,4,3140,680000.0,98077
109,5,2030,470000.0,98052
110,4,2310,597750.0,98027
111,3,1260,570000.0,98103
112,3,1540,272500.0,98038
113,3,2080,329950.0,98108
114,4,3230,480000.0,98001
115,3,4380,740500.0,98117
116,3,1590,518500.0,98103
117,2,880,205425.0,98178
118,4,1570,171800.0,98168
119,4,1610,535000.0,98144
120,3,2400,660000.0,98177
121,3,1450,391500.0,98034
122,2,770,395000.0,98117
123,4,2100,445000.0,98118
124,3,2910,770000.0,98052
125,4,2750,1450000.0,98004
126,3,2100,445000.0,98178
127,4,2160,260000.0,98023
128,5,2320,822500.0,98103
129,4,2070,430000.0,98065
130,3,1060,212000.0,98092
131,4,2010,660500.0,98027
132,3,3950,784000.0,98052
133,3,2010,453246.0,98029
134,4,2140,675000.0,98107
135,3,1320,199000.0,98003
136,4,2020,220000.0,98003
137,4,2590,452000.0,98028
138,2,1190,382500.0,98125
139,3,1170,519950.0,98107
140,2,1110,665000.0,98119
141,5,2820,527700.0,98006
142,3,1610,205000.0,98058
143,3,1060,420000.0,98133
144,4,2030,500000.0,98006
145,4,3670,921500.0,98077
146,4,2550,890000.0,98109
147,2,2420,430000.0,98027
148,5,2260,258000.0,98032
149,3,1430,511000.0,98103
150,3,1360,532170.0,98103
151,3,1110,560000.0,98107
152,3,1250,282950.0,98003
153,4,5180,2250000.0,98006
154,1,700,350000.0,98115
155,3,1180,215000.0,98058
156,5,3960,650000.0,98056
157,4,2640,320000.0,98023
158,3,1270,247000.0,98022
159,4,1760,320000.0,98059
160,5,2060,255000.0,98146
161,3,1780,438000.0,98034
162,3,3400,900000.0,98075
163,3,1910,441000.0,98034
164,3,2020,420000.0,98027
165,3,1580,370000.0,98034
166,2,1340,269950.0,98198
167,4,2680,807100.0,98006
168,3,2680,653000.0,98034
169,3,1370,371500.0,98133
170,3,1560,284000.0,98166
171,3,2160,272000.0,98023
172,3,1340,313000.0,98133
173,4,3880,917500.0,98033
174,4,2590,673000.0,98006
175,3,1120,425000.0,98122
176,5,1970,399950.0,98144
177,3,1220,385000.0,98122
178,3,1950,269950.0,98022
179,2,1350,330000.0,98177
180,3,1670,260000.0,98030
181,4,2380,470000.0,98126
182,4,2440,589000.0,98034
183,2,1050,163500.0,98038
184,4,3130,835000.0,98052
185,5,4090,1095000.0,98033
186,4,1490,269000.0,98023
187,3,1900,560000.0,98074
188,4,1330,615000.0,98103
189,3,2230,585188.0,98052
190,3,1650,305000.0,98034
191,3,1190,166950.0,98058
192,3,2140,799000.0,98040
193,3,2180,400000.0,98133
194,3,1060,230000.0,98155
195,3,1690,256883.0,98023
196,4,1970,423000.0,98108
197,3,2150,465000.0,98126
198,3,1910,440000.0,98024
199,3,1350,385000.0,98038
200,3,860,210000.0,98056
201,3,1940,297000.0,98042
202,3,1010,470000.0,98107
203,3,1300,226500.0,98023
204,3,910,274250.0,98059
205,4,2480,840000.0,98040
206,3,2440,677900.0,98052
207,3,1010,425000.0,98116
208,2,900,180250.0,98166
209,6,2300,464000.0,98133
210,4,1550,320000.0,98038
211,3,1270,625504.0,98105
212,4,2240,592500.0,98074
213,3,2714,465000.0,98001
214,4,1720,477000.0,98118
215,2,850,280000.0,98168
216,5,3300,1505000.0,98040
217,3,2250,445838.0,98146
218,2,3900,1072000.0,98144
219,2,1320,467000.0,98177
220,4,2760,686000.0,98075
221,3,1750,279950.0,98198
222,4,2330,527000.0,98011
223,3,2220,325000.0,98030
224,3,2020,328000.0,98038
225,3,1250,390000.0,98146
226,2,1510,479950.0,98053
227,4,1720,264950.0,98023
228,3,1430,235000.0,98031
229,3,1480,516500.0,98053
230,2,1450,655000.0,98166
231,4,2280,500000.0,98059
232,6,2940,315000.0,98023
233,2,1000,213000.0,98024
234,3,2480,475000.0,98108
235,5,3760,1025000.0,98033
236,3,2220,416000.0,98010
237,4,1970,410000.0,98122
238,3,3830,800000.0,98077
239,6,4410,472000.0,98003
240,3,1430,225000.0,98003
241,2,830,210000.0,98126
242,2,1430,455000.0,98115
243,3,1300,225000.0,98002
244,2,1030,480000.0,98103
245,3,2740,363000.0,98023
246,4,3650,2400000.0,98074
247,2,720,181000.0,98106
248,4,2010,250000.0,98002
249,3,1560,481000.0,98103
250,3,1810,260000.0,98032
251,4,3360,455000.0,98058
252,3,1510,415000.0,98045
253,3,1400,349500.0,98118
254,3,1730,245000.0,98030
255,2,1420,592500.0,98115
256,4,2360,385000.0,98106
257,3,1580,315000.0,98059
258,3,1230,255000.0,98045
259,4,2460,693000.0,98052
260,3,1660,780000.0,98112
261,3,1270,237000.0,98198
262,3,2100,525000.0,98074
263,2,770,425000.0,98144
264,1,760,369900.0,98070
265,4,1700,290000.0,98031
266,3,1120,285000.0,98106
267,2,1070,415000.0,98115
268,3,2070,272500.0,98023
269,4,5050,2900000.0,98004
270,4,5310,1365000.0,98077
271,2,1040,436000.0,98133
272,3,1700,210000.0,98003
273,3,1300,236000.0,98178
274,3,1080,331000.0,98199
275,3,2653,365000.0,98031
276,3,2290,450000.0,98058
277,4,3820,770000.0,98028
278,4,2210,455000.0,98038
279,3,2390,405000.0,98118
280,4,2600,304900.0,98031
281,2,860,170000.0,98178
282,5,3830,2050000.0,98122
283,4,3500,780000.0,98053
284,3,2420,330000.0,98028
285,4,2720,370000.0,98030
286,5,2500,467000.0,98072
287,3,1670,405000.0,98034
288,5,2900,675000.0,98006
289,2,1640,500000.0,98006
290,4,1890,389999.0,98166
291,4,2950,630000.0,98034
292,4,2160,360000.0,98001
293,4,3280,580000.0,98056
294,3,1970,550000.0,98126
295,4,3360,879000.0,98075
296,3,1320,265000.0,98042
297,3,2650,446500.0,98059
298,3,2030,404000.0,98108
299,3,1590,267500.0,98188
300,4,4550,3075000.0,98074
301,3,2440,335000.0,98003
302,3,1940,576000.0,98117
303,3,2040,208633.0,98038
304,3,2200,315000.0,98166
305,3,1920,725000.0,98112
306,4,1800,550000.0,98177
307,4,2180,610750.0,98074
308,2,1010,550700.0,98105
309,4,3320,665000.0,98056
310,4,2370,834000.0,98144
311,5,1660,201000.0,98065
312,5,3650,2384000.0,98119
313,4,4290,1384000.0,98006
314,4,4290,1400000.0,98006
315,4,1950,305000.0,98058
316,3,2590,487000.0,98133
317,3,1930,390000.0,98042
318,2,1470,548000.0,98103
319,4,800,268750.0,98166
320,5,3150,819900.0,98052
321,3,2030,520000.0,98027
322,3,1450,230000.0,98001
323,3,1510,240000.0,98023
324,2,1240,232000.0,98146
325,2,1240,240500.0,98146
326,3,3030,274975.0,98077
327,4,2050,740000.0,98102
328,3,1000,186375.0,98166
329,3,2370,790000.0,98005
330,4,2800,880000.0,98105
331,6,2240,279000.0,98198
332,3,1810,295000.0,98022
333,2,1070,640000.0,98103
334,4,2490,940000.0,98040
335,4,1960,260000.0,98038
336,3,2930,559900.0,98072
337,4,1510,791500.0,98103
338,3,1420,265000.0,98133
339,3,1740,245000.0,98178
340,4,2560,485000.0,98052
341,4,3040,684000.0,98059
342,3,2500,425000.0,98125
343,4,1275,309600.0,98070
344,4,2580,552250.0,98065
345,4,1000,165000.0,98178
346,4,1000,239900.0,98178
347,2,1070,320000.0,98059
